# nu	S
70.96 9.63277365973e-05
91.79 0.00017935577073
111.67 0.000252374419967
114.45 0.000324147485279
144.93 0.000384110644395
151.7 0.000441828282425
152.73 0.000499214336884
153.38 0.000556392458258
169.05 0.00060884608037
172.31 0.000660381293771
182.28 0.000709231494656
184.98 0.00075738489826
209.82 0.000799664020555
211.12 0.000841660032206
228.43 0.000880088767628
262.88 0.00091239136942
263.57 0.000944582825531
269.34 0.000975860910549
275.5 0.00100619465429
283.92 0.00103528667269
302.81 0.0010617846334
318.16 0.00108635316166
327.48 0.00110982160991
327.51 0.00113328660005
333.67 0.00115605245878
343.65 0.00117773042235
359.59 0.00119777896782
359.99 0.00121778825358
361.04 0.00123769485011
362.95 0.0012574160064
369.9 0.00127647690444
388.41 0.00129388512539
391 0.00131107377072
706.15 0.00131462370891
709.52 0.00131811265563
717.05 0.00132146895705
718.13 0.00132480663774
732.14 0.0013279116296
737.19 0.00133093665542
738.25 0.00133394515091
742.85 0.0013368829173
865.9 0.00133842713523
873.93 0.00133990724401
874.87 0.00134138001941
880.81 0.00134280726431
1131.97 0.00134317705145
1134.04 0.00134354268459
1134.65 0.00134390710238
1140.8 0.00134425948618
1461.79 0.0013443189985
1465.95 0.00134437713788
1487.63 0.00134442861317
1499.53 0.00134447675761
1533.74 0.00134451646796
1557.48 0.0013445512021
1575.72 0.00134458253672
1620.02 0.00134460692529
60.42 0.00144930446493
62.64 0.00155212060809
88.45 0.00163705447466
94.35 0.00171867057983
96.16 0.00179931262712
101.83 0.00187702472439
134.72 0.0019406091955
136.63 0.00200349327057
147.02 0.00206275066416
155.72 0.00211918853702
157.54 0.00217505947987
166.39 0.00222827812215
168.46 0.00228090019856
193.71 0.00232688289561
193.81 0.00237284142856
200.54 0.00241720841726
215.19 0.00245833233153
233.7 0.00249574497932
247.93 0.0025305617784
262.28 0.00256296136772
266.72 0.0025946506645
268.67 0.00262603335523
275.07 0.00265643201425
283.35 0.00268560635887
316.66 0.00271035683971
323.57 0.00273428050118
327.7 0.00275772360204
334.48 0.00278039912689
354.13 0.00280099138846
357.94 0.00282120270128
366.94 0.00284054204911
368.18 0.00285976425643
380 0.00287790487278
384.81 0.00289562293166
404.59 0.00291170365694
430.98 0.00292583039337
708.96 0.00292932940457
709.72 0.00293281476361
716.07 0.00293618804844
716.71 0.00293955023268
734.76 0.00294261348551
736.61 0.00294564759335
739.16 0.00294864196741
742.39 0.00295158673371
872.55 0.00295307767283
873.57 0.00295456059952
876.22 0.00295602290471
879.89 0.00295745711081
1132.83 0.00295782516655
1133.7 0.00295819147884
1133.93 0.00295855733158
1134.34 0.00295892236651
1468.43 0.00295897970235
1475.31 0.00295903486602
1495.81 0.00295908402813
1499.12 0.00295913228371
1563.68 0.00295916582323
1571.08 0.00295919799006
1622.89 0.00295922198534
1628.2 0.00295924526945
60.42 0.00306394280909
62.64 0.00316675895225
88.45 0.00325169281882
94.35 0.00333330892399
96.16 0.00341395097128
101.83 0.00349166306855
134.72 0.00355524753966
136.63 0.00361813161473
147.02 0.00367738900832
155.72 0.00373382688118
157.54 0.00378969782403
166.39 0.00384291646631
168.46 0.00389553854272
193.71 0.00394152123977
193.81 0.00398747977272
200.54 0.00403184676142
215.19 0.00407297067569
233.7 0.00411038332348
247.93 0.00414520012256
262.28 0.00417759971188
266.72 0.00420928900866
268.67 0.00424067169939
275.07 0.00427107035841
283.35 0.00430024470303
316.66 0.00432499518387
323.57 0.00434891884534
327.7 0.0043723619462
334.48 0.00439503747105
354.13 0.00441562973262
357.94 0.00443584104544
366.94 0.00445518039327
368.18 0.00447440260059
380 0.00449254321694
384.81 0.00451026127582
404.59 0.0045263420011
430.98 0.00454046873753
708.96 0.00454396774873
709.72 0.00454745310777
716.07 0.0045508263926
716.71 0.00455418857684
734.76 0.00455725182967
736.61 0.00456028593751
739.16 0.00456328031157
742.39 0.00456622507787
872.55 0.00456771601699
